,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,X2타,X3타,홈런,볼넷,고4,사구,삼진,보크,폭투,자책점,비율.1,비율.2,비율.3,비율.4,WAR,WPA
411,이승현,21삼,0.14,41,0,0,0,1,4,0,7,39.1,24,23,174,35,8,0,3,23,0,3,46,0,5,5.26,3.97,1.48,85.8,113.2,0.14,-0.32
421,문경찬,21N,0.13,35,0,0,0,0,1,0,4,31,20,17,142,25,6,0,6,20,1,0,25,0,1,4.94,6.07,1.45,92,74.8,0.13,-0.19
431,이상민,21삼,0.13,30,0,0,0,1,1,0,3,24.2,15,13,110,28,6,1,2,14,0,0,14,0,1,4.74,4.95,1.7,95.2,90.8,0.13,0.31
441,김진욱,21롯,0.13,39,0,0,5,4,6,0,8,45.2,32,32,227,42,9,0,3,49,3,3,45,0,15,6.31,5.44,1.99,72.1,82,0.13,-1.26
451,김태경,21N,0.13,7,0,0,3,0,0,0,0,15,8,8,63,11,4,0,1,9,0,1,10,0,1,4.8,4.87,1.33,94.6,92.6,0.13,-0.05
461,박건우,21기,0.13,3,0,0,0,0,0,0,0,3,0,0,11,2,0,0,0,1,0,1,3,0,0,0,3.33,1,,135.1,0.13,0.01
471,김대우,21롯,0.12,39,0,0,0,2,2,0,9,35.1,22,20,160,32,7,0,4,24,0,4,31,0,5,5.09,5.43,1.59,89.2,82.3,0.12,-0.71
501,송명기,21N,0.11,24,0,0,24,8,9,0,0,123.1,83,81,574,147,39,2,12,58,1,9,102,1,2,5.91,4.55,1.66,76.8,99.3,0.11,-0.74
511,김종수,21한,0.11,49,0,0,0,1,1,0,6,46.2,29,25,208,34,10,0,7,32,0,3,38,0,2,4.82,5.9,1.41,90.8,75.5,0.11,-0.2
521,신재웅,21S,0.11,8,0,0,0,0,0,0,0,8.1,4,4,37,6,1,0,0,5,0,0,9,1,0,4.32,2.97,1.32,103.9,151,0.11,0.03
531,박주성,21키,0.11,13,0,0,0,0,1,0,0,18.1,11,10,89,24,1,0,1,9,0,2,12,0,1,4.91,4.53,1.8,90.3,96.5,0.11,-0.51
541,최승용,21두,0.11,15,0,0,2,0,0,0,2,18.1,10,8,83,20,3,1,3,10,0,1,16,0,0,3.93,5.51,1.64,109.8,77.2,0.11,-0.27
551,김도규,21롯,0.1,43,0,0,0,2,1,0,5,42,28,27,182,41,5,1,3,22,1,0,39,0,2,5.79,3.9,1.5,78.6,114.2,0.1,0.51
561,한승혁,21기,0.09,8,0,0,5,0,3,0,0,23.2,15,12,103,25,5,1,0,10,0,2,17,0,2,4.56,3.42,1.48,97.4,131.4,0.09,-0.33
571,지명성,21K,0.09,3,0,0,0,1,0,0,0,4,1,0,16,1,0,0,0,1,0,1,4,0,0,0,2.83,0.5,,156.7,0.09,0.02
581,전유수,21K,0.09,11,0,0,0,1,0,0,0,10.2,6,4,46,9,1,0,1,6,0,0,9,0,0,3.38,4.55,1.41,133.1,97.6,0.09,-0.07
591,박선우,21롯,0.08,1,0,0,0,0,0,0,0,2,0,0,9,1,0,0,0,0,0,2,1,0,0,0,5.33,0.5,,84.3,0.08,0
621,노시훈,21N,0.08,5,0,0,0,0,0,0,0,4.2,2,2,22,4,1,0,1,4,0,0,2,0,0,3.86,7.83,1.71,117.7,57.9,0.08,-0.03
631,배성근,21롯,0.08,2,0,0,0,0,0,0,0,2,0,0,9,2,0,0,0,1,0,0,1,0,0,0,3.83,1.5,,116.2,0.08,0
641,김주온,21S,0.07,2,0,0,0,0,0,0,0,2,0,0,10,1,1,0,0,2,0,1,3,0,0,0,4.83,1.5,,94.1,0.07,0
651,이재익,21삼,0.07,11,0,0,0,2,0,0,0,10,6,5,51,11,0,0,1,12,1,0,5,0,0,4.5,6.93,2.3,100.3,65.1,0.07,-0.22
661,정동윤,21S,0.07,1,0,0,0,0,0,0,0,2,0,0,7,1,0,0,0,1,0,0,0,0,0,0,4.83,1,,92.2,0.07,0
671,정진호,21한,0.06,3,0,0,0,0,0,0,0,1.2,0,0,6,1,0,0,0,1,0,0,0,0,0,0,5.13,1.2,,87,0.06,0
681,이우석,21N,0.06,10,0,0,0,1,0,0,0,9.2,6,6,49,13,4,0,1,7,0,3,8,0,0,5.59,6.13,2.07,81.3,73.5,0.06,0.06
691,박승주,21키,0.06,3,0,0,0,0,0,0,0,4.1,2,2,18,3,1,0,0,3,0,0,1,0,0,4.15,4.95,1.39,106.7,89.4,0.06,0
701,문동욱,21한,0.06,1,0,0,0,0,0,0,0,1.1,0,0,6,1,0,0,0,1,0,0,2,0,0,0,2.58,1.5,,172.9,0.06,0
711,김태훈,21S,0.05,65,0,0,0,2,4,1,16,58,35,32,269,55,5,0,7,39,3,9,49,1,4,4.97,5.54,1.62,90.4,82.1,0.05,-0.06
741,최세창,21두,0.05,1,0,0,0,0,0,0,0,1.1,0,0,5,1,0,0,0,1,0,0,0,0,0,0,5.58,1.5,,79.4,0.05,0
751,김범수,21한,0.05,56,0,0,2,4,9,1,9,70.2,44,41,319,68,11,2,2,42,1,2,70,1,8,5.22,3.55,1.56,83.9,125.8,0.05,-1.36
761,신재영,21S,0.05,20,0,0,1,0,0,0,0,28.1,18,18,124,35,5,1,3,2,0,4,27,0,1,5.72,3.44,1.31,78.5,133.3,0.05,-0.54
771,김건태,21N,0.05,6,0,0,0,0,0,0,0,6.2,4,4,29,2,0,0,1,7,0,0,5,0,3,5.4,6.93,1.35,84.1,65.3,0.05,-0.27
781,김현준,21기,0.05,19,0,0,0,0,1,0,2,19.2,13,12,83,15,1,0,4,12,0,0,19,0,0,5.49,5.88,1.37,81,75.4,0.05,-0.24
791,박웅,21두,0.04,10,0,0,0,0,0,0,0,11.2,7,7,49,12,1,1,0,4,0,3,7,0,0,5.4,3.93,1.37,79.9,112.5,0.04,-0.02
801,윤성빈,21롯,0.04,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,6.33,1,,70.4,0.04,0
811,고효준,21L,0.04,3,0,0,0,0,0,0,0,2.1,1,1,10,3,0,1,0,0,0,0,1,0,0,3.86,2.48,1.29,111.8,180.1,0.04,-0.14
821,추재현,21롯,0.04,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,9.33,2,,47.8,0.04,0
831,김도윤,21두,0.04,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,-0.67,0,,-651.2,0.04,0
861,조영건,21키,0.04,1,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,2,0,0,3,0,0,0,3.33,3,,128.9,0.04,0
871,김민수,21롯,0.03,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,0,4.33,1,,102.8,0.03,0
881,김진수,21L,0.03,3,0,0,0,0,0,0,0,2.1,1,1,9,2,1,0,0,0,0,0,2,0,0,3.86,1.62,0.86,111.8,276.3,0.03,-0.04
891,오윤석,21롯,0.03,1,0,0,0,0,0,0,0,0.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.33,0,,133.6,0.03,0
901,박진태,21기,0.02,59,0,0,0,3,3,0,9,65,44,43,305,68,11,0,6,36,0,13,45,0,5,5.95,5.41,1.6,74.7,82.3,0.02,-1.08
911,가빌리오,21S,0.02,15,0,0,15,6,4,0,0,81.1,54,53,351,88,18,0,7,30,1,6,70,0,3,5.86,4.02,1.45,76.5,113,0.02,-0.68
921,문성현,21키,0.02,4,0,0,0,0,0,0,0,3.1,2,2,18,3,2,0,0,6,0,0,3,0,1,5.4,6.93,2.7,82.1,63.4,0.02,-0.01
931,최민준,21S,0.02,38,0,0,12,3,3,0,4,86,56,56,398,93,17,0,11,50,0,7,62,1,5,5.86,5.54,1.66,76.6,81.9,0.02,-1.71
941,김건우,21S,0.02,6,0,0,4,0,1,0,0,11,7,6,54,8,1,0,1,12,0,0,7,0,1,4.91,6.51,1.82,91.4,69.2,0.02,-0.1
951,강태율,21롯,0.01,1,0,0,0,0,0,0,0,0.1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,3.33,6,,133.6,0.01,0
981,최정용,21기,0.01,1,0,0,0,0,0,0,0,0.1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3.33,3,,133.6,0.01,0
991,안인산,21N,0.01,7,0,0,0,0,0,0,0,6.2,5,4,34,3,1,0,0,7,0,3,9,0,3,5.4,5.13,1.5,84.1,87.1,0.01,-0.08
1001,양현,21키,0.01,45,0,0,0,1,2,0,5,48,31,25,225,59,11,0,3,26,4,1,22,0,1,4.69,4.67,1.77,94.6,93.4,0.01,-0.52
1011,강태경,21N,0.01,3,0,0,3,0,1,0,0,12.2,8,8,61,13,3,0,2,10,0,2,10,0,2,5.68,6.65,1.82,79.9,68,0.01,-0.36
1021,강동호,21롯,0,1,0,0,0,0,0,0,0,1.1,1,1,7,1,1,0,0,1,0,1,1,0,1,6.75,6.33,1.5,67.3,70.8,0,0
1031,류원석,21L,0,6,0,0,0,0,0,0,0,6,4,4,28,1,1,0,0,9,0,1,8,0,0,6,5.67,1.67,71.9,78,0,0.04
1041,문대원,21두,0,2,0,0,0,0,0,0,0,1.1,1,1,9,2,0,0,1,2,0,0,1,0,0,6.75,16.08,3,63.9,25.8,0,0
1051,이승헌,21롯,0,16,0,0,12,0,3,0,0,57.2,39,37,278,65,10,0,2,43,0,7,32,1,11,5.77,5.28,1.87,78.7,84.6,0,-0.93
1061,윤산흠,21한,0,5,0,0,0,0,0,0,0,3,2,2,19,7,0,0,0,2,0,2,2,0,0,6,6,3,73,74.3,0,-0.06
1071,오동욱,21한,0,34,0,0,0,0,1,0,2,25,17,15,117,21,9,0,3,16,0,5,13,0,0,5.4,6.37,1.48,81.1,70,0,-0.32
1101,김건국,21롯,-0.01,13,0,0,0,0,0,0,0,22,16,16,104,27,8,0,3,14,0,0,17,0,2,6.55,5.47,1.86,69.4,81.6,-0.01,0.09
1111,손정욱,21N,-0.02,15,0,0,0,1,0,0,0,12.1,9,9,61,17,2,3,1,7,0,0,8,0,1,6.57,4.79,1.95,69.1,94.2,-0.02,-0.45
1121,황윤호,21기,-0.02,1,0,0,0,0,0,0,0,0.2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,3.33,3,,133.6,-0.02,0
1131,정인욱,21한,-0.02,8,0,0,1,0,0,0,0,9.1,6,5,44,6,1,0,2,10,0,0,6,0,0,4.82,8.05,1.71,90.8,55.4,-0.02,-0.19
1141,김강민,21S,-0.02,1,0,0,0,0,0,0,0,0.2,1,1,4,1,0,0,1,1,0,0,1,0,0,13.5,24.33,3,33.2,19.1,-0.02,0
1151,정영일,21S,-0.03,1,0,0,0,0,0,0,0,2,2,2,9,4,1,0,1,0,0,0,0,0,0,9,9.83,2,49.9,46.7,-0.03,0
1161,오석주,21L,-0.03,9,0,0,0,0,0,0,0,8.1,6,6,38,9,1,0,0,6,0,0,7,0,0,6.48,3.81,1.8,66.6,116.4,-0.03,-0.05
1171,홍민기,21롯,-0.04,1,0,0,0,0,0,0,0,0.1,1,1,3,0,0,0,0,2,0,0,0,0,0,27,21.33,6,16.8,20.9,-0.04,-0.01
1181,김동욱,21키,-0.04,3,0,0,0,0,0,0,0,3,3,3,16,7,0,1,2,1,0,0,2,0,0,9,11.67,2.67,49.3,35.7,-0.04,0
1191,이형범,21두,-0.04,4,0,0,0,0,0,0,0,2.2,2,0,16,2,0,0,0,5,0,1,2,0,0,0,8.58,2.63,,51.4,-0.04,-0.55
212,최영환,21롯,-0.05,20,0,0,7,1,2,0,0,40.2,30,28,181,45,10,0,4,24,0,2,28,0,4,6.2,5.15,1.7,73.3,86.7,-0.05,-0.58
312,이준영,21기,-0.05,50,0,0,1,3,2,1,9,35.2,25,22,159,30,5,0,3,19,1,0,26,0,3,5.55,4.48,1.37,80.1,99.1,-0.05,-0.65
412,이찬혁,21L,-0.06,1,0,0,0,0,0,0,0,1,2,2,6,1,1,0,0,2,0,0,2,0,1,18,5.33,3,24,82.9,-0.06,0
512,황영국,21한,-0.06,18,0,0,0,0,2,0,2,14.2,10,9,71,16,1,0,0,10,0,1,15,0,2,5.52,3.54,1.77,79.3,126.2,-0.06,-0.6
611,나원탁,21롯,-0.06,2,0,0,0,0,0,0,0,2,3,3,10,1,0,1,0,3,0,0,3,0,1,13.5,4.83,2,33.7,92.2,-0.06,0
712,조요한,21S,-0.06,6,0,0,0,0,0,0,1,7,6,6,38,10,3,0,0,9,0,0,4,0,0,7.71,6.05,2.71,58.2,73.9,-0.06,-0.23
812,임현준,21삼,-0.06,27,0,0,0,1,2,0,5,11,8,8,52,11,1,2,0,7,0,4,8,0,0,6.55,4.88,1.64,69,91.3,-0.06,-0.68
912,이승헌,21N,-0.06,5,0,0,0,0,0,0,0,5.1,5,4,27,9,3,0,0,1,0,0,7,0,0,6.75,1.27,1.88,67.3,350,-0.06,-0.03
1012,차우찬,21L,-0.08,5,0,0,5,2,1,0,0,22.1,14,13,99,16,3,0,2,13,0,3,12,0,0,5.24,5.57,1.3,82.3,77.8,-0.08,-0.36
1112,스미스,21키,-0.08,2,0,0,2,1,0,0,0,10,7,7,43,9,2,0,1,5,0,0,5,0,0,6.3,5.13,1.4,70.4,84.4,-0.08,-0.14
142,유재유,21두,-0.09,4,0,0,0,0,0,0,0,3.1,4,4,19,4,0,0,2,5,0,0,1,0,1,10.8,15.03,2.7,39.9,27.9,-0.09,-0.04
152,변시원,21기,-0.09,1,0,0,0,0,0,0,0,0.2,2,2,7,1,0,0,0,3,0,1,0,0,0,27,21.33,6,16.5,21,-0.09,-0.03
162,서균,21한,-0.09,3,0,0,0,0,0,0,0,1.2,2,2,10,2,0,0,0,0,0,2,0,0,0,10.8,6.93,1.2,40.6,64.1,-0.09,-0.19
172,신지후,21한,-0.09,2,0,0,0,0,0,0,0,0.1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,12.33,3,,36.4,-0.09,-0.01
182,이상규,21L,-0.1,7,0,0,0,0,0,0,0,6,6,6,29,8,2,0,1,2,0,1,4,0,0,9,5.67,1.67,47.9,75.1,-0.1,0.02
192,정우준,21롯,-0.1,6,0,0,0,0,0,0,0,5.2,6,6,29,6,2,0,1,5,0,2,4,0,0,9.53,7.92,1.94,47.7,56.5,-0.1,-0.19
202,조영우,21S,-0.1,30,0,0,8,4,8,1,0,66.2,46,42,291,74,10,2,10,26,0,0,48,0,3,5.67,5.01,1.5,79.1,90.8,-0.1,-0.32
213,하준호,21K,-0.11,10,0,0,0,0,0,0,0,12,10,9,56,16,1,1,2,6,0,0,10,0,1,6.75,5.33,1.83,66.5,83.1,-0.11,-0.2
222,남호,21두,-0.11,5,0,0,0,0,1,0,0,2.2,3,3,13,3,1,0,0,3,0,0,2,0,0,10.13,5.21,2.25,42.6,85.1,-0.11,-0.15
232,박세웅,21삼,-0.11,4,0,0,0,0,0,0,0,3,4,3,18,5,0,1,1,3,0,1,2,0,0,9,10.33,2.67,50.2,44.2,-0.11,-0.1
262,오현택,21롯,-0.12,20,0,0,0,0,1,0,1,16.1,13,12,87,28,7,0,2,8,2,1,8,0,0,6.61,5.23,2.2,68.7,85.2,-0.12,-0.8
272,고봉재,21두,-0.12,1,0,0,0,0,0,0,0,1.1,4,4,8,5,0,0,1,0,0,0,0,0,0,27,13.08,3.75,16,31.3,-0.12,0
282,박주홍,21한,-0.12,2,0,0,1,1,1,0,0,3,4,4,18,2,0,0,0,9,0,0,3,0,1,12,10.33,3.67,36.5,43.4,-0.12,-0.22
292,유원상,21K,-0.12,11,0,0,0,1,1,0,1,13,10,9,60,15,2,0,0,6,0,0,13,0,3,6.23,2.72,1.62,72.1,164.4,-0.12,-0.08
302,김태형,21L,-0.12,2,0,0,0,0,0,0,0,1,3,3,6,0,0,0,0,2,0,1,1,0,0,27,10.33,2,16,42.6,-0.12,0.01
313,강지광,21S,-0.13,1,0,0,0,0,0,0,0,1,4,4,10,3,0,0,0,4,0,0,1,0,0,36,13.33,7,12.5,33.5,-0.13,0
322,남지민,21한,-0.13,3,0,0,3,0,1,0,0,7.1,6,6,41,9,2,0,1,7,0,3,3,0,0,7.36,8.38,2.18,59.5,53.2,-0.13,-0.24
332,이용준,21N,-0.13,2,0,0,0,0,0,0,0,1.2,4,4,12,3,0,0,0,4,0,0,1,0,2,21.6,9.33,4.2,21,48.4,-0.13,-0.02
